Psi_0,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,Psi_10,Psi_11,Psi_12,Psi_13,Psi_14,Psi_15,Psi_16,Psi_17,Psi_18,Psi_19,Psi_20,Psi_21,Psi_22,Psi_23,Psi_24,Psi_25,Psi_26,Psi_27
6.063055055633119e-08,-6.366022865380431e-07,-4.553291457110649e-06,2.5550459139656048e-05,0.00011894727464615079,0.00047279745125715876,-0.0016308179170384772,-0.004925626085390745,-0.01307961691683629,-0.030531691170415515,0.062376477166229356,0.11044672635076679,-0.16643854266983168,0.2062699246200668,-0.19506610184484163,0.1106149514712211,0.023542113444955003,0.12929357772688158,0.12401850474736839,0.008844570034140384,-0.1015758396296198,-0.08567566307356105,-0.0306331382101161,0.08835320338989848,-0.01437471953976283,-0.06256490182495845,-0.024395716372956122,0.03563686018015034
2.458786116628438e-08,-2.707130107897038e-07,-2.0320665337143165e-06,1.197858291478409e-05,5.864864867465216e-05,0.0002455167857313625,-0.0008934218556250562,-0.0028528975951990455,-0.008031269067904794,-0.019947135337540278,0.04357782745050291,0.08311646890767566,-0.1364904734614165,0.18819480561331603,-0.20734915061813752,0.16123616816996375,-0.04633750026273737,0.084754433673697,0.14135464981887366,0.07271723674140422,-0.05742517759389365,-0.10953038337776286,0.026302502356777762,0.07634551867440152,-0.05661362998735137,-0.03822042886887374,-0.04823268366611358,0.016356589334101918
9.840950701253605e-09,-1.1353792532023944e-07,-8.937330268663665e-07,5.529559249951922e-06,2.8444882724916655e-05,0.0001252628747113319,-0.0004802220669000726,-0.0016185279366422991,-0.004820422121718025,-0.012705003029296277,0.029576337047341535,0.0604628330919554,-0.10736724114987713,0.16247226076870297,-0.2022625454656083,0.19200174412413412,-0.10902037932028977,0.02345334032595385,0.12676806483773828,0.11838745495172899,0.00291112224487598,-0.10060758919137709,0.07509541213164014,0.038762206578165544,-0.07938779981671741,-0.00013930403628452923,-0.05463807983116622,-0.009020731545779186
3.890486023223474e-09,-4.700603388202959e-08,-3.8775382467087076e-07,2.51600722152383e-06,1.3586125602643813e-05,6.287191468448798e-05,-0.0002536238338337384,-0.0009009125479086561,-0.0028336102625827323,-0.00790770748650821,0.01955857521135693,0.04268418271460212,-0.0814821584665168,0.13402462645593136,-0.18499956344913687,0.20355423000995135,-0.1569056993124442,-0.04212757405749921,0.08638967293912012,0.13691899511446687,0.06274496939705874,-0.06376887020483131,0.10187407811644822,-0.011043003515308975,-0.07652303521666624,0.038141467452495026,-0.042454029502931596,-0.03138833660876281
1.520428302037117e-09,-1.9227183072863547e-08,-1.6610360231428843e-07,1.1295319462618424e-06,6.397357156949165e-06,3.108136618126715e-05,-0.00013178805440622386,-0.0004927487315294375,-0.0016341896314310178,-0.004819484407031128,0.012633957685804774,0.029338260753053222,-0.05992817008219683,0.10638028604067376,-0.1607657816099827,0.19925585918058586,-0.1868428129500506,-0.10164681393196827,0.03024298827176373,0.12695291850211501,0.10815841610548925,-0.010519107524322951,0.1008539238623437,-0.05783946763380003,-0.05051185782820958,0.06466265192567783,-0.016681336138720262,-0.0436942318892246
5.878276431270141e-10,-7.776335342872558e-09,-7.031522238862751e-08,5.007859242917195e-07,2.972728335618051e-06,1.5150619368774637e-05,-6.745732064472704e-05,-0.0002651810664957606,-0.0009260826071207555,-0.002881479475670891,0.007989167835225039,0.01968706399968983,-0.042870489253838545,0.081678374949064,-0.1339229460432345,0.1836659584092933,-0.1992900301469183,-0.14831525911979596,-0.03093143395887909,0.093132601921275,0.13075113211434047,0.045385830232690556,0.07430632710124259,-0.08925373952350008,-0.010181069850718892,0.07243154179706315,0.014160936369745969,-0.042820266250929696
2.249903494952668e-10,-3.1121428242504425e-09,-2.9438598837446232e-08,2.1945660568520468e-07,1.364476125345995e-06,7.2893768468421855e-06,-3.405151040841549e-05,-0.00014059698407994898,-0.00051641022566439,-0.0016927835576778893,0.004955160045765121,0.012927864789766918,-0.029919532999677055,0.06091603212626443,-0.10763610072698823,0.16137302742662818,-0.19704708094018455,-0.1790676336523789,-0.08799307912480372,0.04358234956896762,0.12823258144083716,0.09174332797481863,0.03032922293431401,-0.09853394633263263,0.03295386253110977,0.06053374728542816,0.04115988113769905,-0.029821014056384976
8.530988497460146e-11,-1.2333256416290319e-09,-1.2198629872568386e-08,9.513491003702499e-08,6.191723050117738e-07,3.4649018542079405e-06,-1.6968650867573576e-05,-7.352293497823392e-05,-0.0002837228925350016,-0.000978571170081208,0.0030195783652398177,0.008324488760485258,-0.020423341235117864,0.04427948059678437,-0.08387574711455244,0.1362793419294958,-0.1840089556042792,-0.19392581806091183,-0.13461985866363907,-0.012609860304893685,0.10341430518913527,0.12028573227417691,-0.02029906810512891,-0.08512546557577154,0.0682040111280339,0.03326247869471164,0.057532646220327624,-0.008889994638890493
3.206506444716484e-11,-4.843060855362671e-10,-5.0065585975860575e-09,4.08276883569584e-08,2.7800008534987487e-07,1.6285955210044286e-06,-8.355586031187999e-06,-3.796112918455372e-05,-0.00015376431855152283,-0.0005573922419651299,0.0018106142596468991,0.005265629789381377,-0.01366544468643731,0.03145855700952234,-0.06361750522102223,0.11128971618684934,-0.1641917508121546,-0.195003652488429,-0.1675578117621287,-0.06731794422760666,0.06238171497958034,0.1274916458919111,-0.06707894625606052,-0.05354786338966326,0.08815366657515794,-0.0019342598798690988,0.05998816074167597,0.014300518366976104
1.1953915146364072e-11,-1.885640549752296e-10,-2.036528896129834e-09,1.735804005603783e-08,1.2359332802497655e-07,7.575498977058355e-07,-4.069198173159672e-06,-1.9370655442292854e-05,-8.22890109221271e-05,-0.0003132029033830173,0.0010697623264176253,0.003277122095888774,-0.00897987468435761,0.021896340457419228,-0.047113991944689126,0.08829036680002134,-0.14111159117026975,-0.1854978401688531,-0.186210524073189,-0.11449593779767488,0.012543622204559162,0.11414176184771976,-0.10188924644045048,-0.011366488446612791,0.08970733335915762,-0.036805989547749225,0.04887900210597025,0.0342588541325876
